date,power_MW
2015-01-01,15997.583
2015-01-02,16702.667
2015-01-03,17032.042
2015-01-04,17505.708
2015-01-05,18990.208
2015-01-06,18319.208
2015-01-07,18024.0
2015-01-08,17706.625
2015-01-09,18566.25
2015-01-10,17897.25
2015-01-11,17723.792
2015-01-12,19063.583
2015-01-13,18472.792
2015-01-14,18571.125
2015-01-15,18459.167
2015-01-16,17928.875
2015-01-17,17242.833
2015-01-18,17474.875
2015-01-19,19553.417
2015-01-20,19633.917
2015-01-21,19569.5
2015-01-22,20145.792
2015-01-23,20394.0
2015-01-24,18313.625
2015-01-25,18024.667
2015-01-26,18455.958
2015-01-27,18404.583
2015-01-28,17829.292
2015-01-29,18190.625
2015-01-30,18392.167
2015-01-31,17692.583
2015-02-01,18041.917
2015-02-02,19783.25
2015-02-03,20123.125
2015-02-04,20475.167
2015-02-05,20502.292
2015-02-06,19345.375
2015-02-07,17924.125
2015-02-08,17812.292
2015-02-09,17983.542
2015-02-10,17589.917
2015-02-11,17860.125
2015-02-12,18365.292
2015-02-13,18390.917
2015-02-14,17212.333
2015-02-15,17106.708
2015-02-16,18504.708
2015-02-17,18236.333
2015-02-18,17164.417
2015-02-19,16814.792
2015-02-20,16864.375
2015-02-21,16573.417
2015-02-22,16698.083
2015-02-23,18114.25
2015-02-24,17752.375
2015-02-25,17403.583
2015-02-26,17954.125
2015-02-27,17430.375
2015-02-28,16558.75
2015-03-01,16183.708
2015-03-02,17071.875
2015-03-03,17461.792
2015-03-04,17750.833
2015-03-05,17829.0
2015-03-06,16726.917
2015-03-07,15514.5
2015-03-08,15016.583
2015-03-09,16789.167
2015-03-10,16621.542
2015-03-11,16482.125
2015-03-12,16639.25
2015-03-13,16405.625
2015-03-14,15707.667
2015-03-15,15451.208
2015-03-16,16506.0
2015-03-17,16243.333
2015-03-18,16311.375
2015-03-19,16788.125
2015-03-20,16773.75
2015-03-21,16123.042
2015-03-22,16476.125
2015-03-23,16658.792
2015-03-24,16511.208
2015-03-25,17047.458
2015-03-26,18021.5
2015-03-27,17240.458
2015-03-28,15934.5
2015-03-29,15250.875
2015-03-30,16112.875
2015-03-31,16391.333
2015-04-01,15700.5
2015-04-02,14786.417
2015-04-03,14711.292
2015-04-04,14650.917
2015-04-05,14765.583
2015-04-06,14780.0
2015-04-07,15055.833
2015-04-08,15176.208
2015-04-09,15380.917
2015-04-10,14648.917
2015-04-11,13934.208
2015-04-12,13765.083
2015-04-13,15170.208
2015-04-14,15505.75
2015-04-15,15070.542
2015-04-16,14996.583
2015-04-17,14785.792
2015-04-18,13707.125
2015-04-19,12981.458
2015-04-20,13588.292
2015-04-21,13601.917
2015-04-22,13637.542
2015-04-23,13703.625
2015-04-24,14277.167
2015-04-25,13685.75
2015-04-26,13352.708
2015-04-27,14708.958
2015-04-28,15040.0
2015-04-29,14660.708
2015-04-30,14691.458
2015-05-01,13600.792
2015-05-02,13490.333
2015-05-03,13225.375
2015-05-04,14546.75
2015-05-05,14072.875
2015-05-06,13344.583
2015-05-07,13785.792
2015-05-08,13817.542
2015-05-09,13440.125
2015-05-10,12997.333
2015-05-11,14082.917
2015-05-12,13875.0
2015-05-13,13639.458
2015-05-14,13045.375
2015-05-15,13540.083
2015-05-16,13035.375
