date,power_MW
2020-01-01,16601.0
2020-01-02,17222.917
2020-01-03,17889.083
2020-01-04,18158.75
2020-01-05,17830.042
2020-01-06,17932.75
2020-01-07,17713.083
2020-01-08,17608.208
2020-01-09,18653.958
2020-01-10,19172.5
2020-01-11,17595.0
2020-01-12,17135.75
2020-01-13,18755.917
2020-01-14,18269.542
2020-01-15,18084.875
2020-01-16,17790.583
2020-01-17,17619.167
2020-01-18,16972.5
2020-01-19,17452.083
2020-01-20,17795.375
2020-01-21,17570.417
2020-01-22,18314.917
2020-01-23,18311.0
2020-01-24,18119.5
2020-01-25,17444.542
2020-01-26,16850.875
2020-01-27,18159.167
2020-01-28,18789.75
2020-01-29,18842.958
2020-01-30,19087.542
2020-01-31,18789.458
2020-02-01,17126.125
2020-02-02,17402.542
2020-02-03,19631.708
2020-02-04,19789.458
2020-02-05,19528.5
2020-02-06,18692.708
2020-02-07,18646.75
2020-02-08,17456.708
2020-02-09,17083.625
2020-02-10,17900.542
2020-02-11,18410.0
2020-02-12,18451.5
2020-02-13,18901.292
2020-02-14,19249.083
2020-02-15,17263.542
2020-02-16,16784.667
2020-02-17,17746.458
2020-02-18,17843.792
2020-02-19,18433.833
2020-02-20,18665.542
2020-02-21,18148.833
2020-02-22,16853.25
2020-02-23,17038.625
2020-02-24,18603.458
2020-02-25,19183.958
2020-02-26,19554.708
2020-02-27,20071.083
2020-02-28,19575.292
2020-02-29,18829.875
2020-03-01,18314.5
2020-03-02,18744.292
2020-03-03,18805.708
2020-03-04,18810.417
2020-03-05,18735.583
2020-03-06,18961.208
2020-03-07,18054.708
2020-03-08,16875.208
2020-03-09,17531.333
2020-03-10,18035.458
2020-03-11,17574.708
2020-03-12,17860.5
2020-03-13,18442.25
2020-03-14,18008.583
2020-03-15,16767.25
2020-03-16,17563.75
2020-03-17,16871.208
2020-03-18,16919.417
2020-03-19,17286.292
2020-03-20,17638.042
2020-03-21,17064.917
2020-03-22,16993.833
2020-03-23,17767.417
2020-03-24,17523.958
2020-03-25,16925.0
2020-03-26,16792.917
2020-03-27,16790.458
2020-03-28,16667.625
2020-03-29,17073.708
2020-03-30,17642.667
2020-03-31,17187.208
2020-04-01,16703.417
2020-04-02,17285.917
2020-04-03,17460.167
2020-04-04,16657.375
2020-04-05,15816.667
2020-04-06,15550.875
2020-04-07,14946.5
2020-04-08,15196.542
2020-04-09,14999.208
2020-04-10,15054.25
2020-04-11,15289.833
2020-04-12,14771.833
2020-04-13,15885.5
2020-04-14,16867.958
2020-04-15,15628.25
2020-04-16,15525.542
2020-04-17,15711.667
2020-04-18,14772.292
2020-04-19,14124.167
2020-04-20,14498.667
2020-04-21,14057.292
2020-04-22,13969.75
2020-04-23,14181.833
2020-04-24,14223.458
2020-04-25,13807.917
2020-04-26,13833.125
2020-04-27,15205.792
2020-04-28,15405.875
2020-04-29,15203.417
2020-04-30,15238.583
2020-05-01,14414.458
2020-05-02,13893.167
2020-05-03,13738.417
2020-05-04,14991.25
2020-05-05,14987.0
2020-05-06,14267.292
2020-05-07,14455.75
2020-05-08,14304.583
2020-05-09,13619.167
2020-05-10,14017.042
2020-05-11,15483.167
2020-05-12,15752.125
2020-05-13,15548.083
2020-05-14,15202.25
2020-05-15,15211.042
2020-05-16,14546.375
2020-05-17,13509.875
2020-05-18,14305.5
2020-05-19,13963.292
2020-05-20,13680.708
2020-05-21,12667.208
2020-05-22,12741.583
2020-05-23,12208.792
2020-05-24,12239.125
2020-05-25,12796.875
2020-05-26,12877.042
2020-05-27,12813.25
2020-05-28,12923.5
2020-05-29,12528.833
2020-05-30,11318.0
2020-05-31,10635.625
2020-06-01,10916.958
2020-06-02,11813.458
2020-06-03,12100.458
2020-06-04,12332.958
2020-06-05,12503.208
2020-06-06,11974.75
2020-06-07,12047.083
2020-06-08,13153.833
2020-06-09,12800.458
2020-06-10,12427.5
2020-06-11,12235.667
2020-06-12,11993.125
2020-06-13,10960.5
2020-06-14,10865.083
2020-06-15,12046.0
2020-06-16,12169.333
2020-06-17,11995.5
2020-06-18,12035.083
2020-06-19,11884.5
2020-06-20,11154.083
2020-06-21,10951.292
2020-06-22,11952.208
2020-06-23,11991.625
2020-06-24,11924.167
2020-06-25,11876.917
2020-06-26,11832.292
2020-06-27,11034.125
2020-06-28,10816.167
2020-06-29,11950.792
2020-06-30,12097.167
2020-07-01,12249.667
2020-07-02,12436.625
2020-07-03,12405.333
2020-07-04,11672.833
2020-07-05,11318.792
2020-07-06,12272.208
2020-07-07,12639.292
2020-07-08,12461.833
2020-07-09,12254.375
2020-07-10,11896.833
2020-07-11,11369.875
2020-07-12,11385.292
2020-07-13,11933.875
2020-07-14,11943.125
2020-07-15,11549.375
2020-07-16,11519.25
2020-07-17,11497.417
2020-07-18,11253.583
2020-07-19,11281.708
2020-07-20,11822.083
2020-07-21,11789.5
2020-07-22,11990.333
2020-07-23,12045.417
2020-07-24,11852.333
2020-07-25,11238.208
2020-07-26,11016.625
2020-07-27,11515.583
2020-07-28,11568.667
2020-07-29,11821.583
2020-07-30,11923.708
2020-07-31,11627.5
