date,air_temperature,relative_humidity,wind_speed
2015-01-01,3.1500000000000004,94.0,2.6
2015-01-02,2.9,85.0,7.4
2015-01-03,1.9,88.0,9.0
2015-01-04,0.65,90.0,8.3
2015-01-05,-0.25,92.0,3.4
2015-01-06,1.4500000000000002,75.0,3.1
2015-01-07,4.15,74.0,4.6
2015-01-08,3.0,81.0,3.4
2015-01-09,0.0499999999999999,89.0,3.1
2015-01-10,-3.35,67.0,8.4
2015-01-11,-5.05,61.0,3.5
2015-01-12,-6.1,64.0,5.2
2015-01-13,-0.05,57.0,4.6
2015-01-14,1.4,50.0,3.7
2015-01-15,2.05,55.0,6.7
2015-01-16,3.2,65.0,3.2
2015-01-17,2.05,85.0,4.7
2015-01-18,1.85,74.0,3.3
2015-01-19,-0.3,60.0,6.6
2015-01-20,-1.0499999999999998,56.0,4.2
2015-01-21,0.0,56.0,5.0
2015-01-22,-2.05,60.0,4.5
2015-01-23,-7.25,62.0,4.5
2015-01-24,-2.5,72.0,2.3
2015-01-25,-0.5,70.0,4.0
2015-01-26,1.75,81.0,2.5
2015-01-27,2.4,75.0,5.0
2015-01-28,3.65,79.0,3.7
2015-01-29,4.2,60.0,5.5
2015-01-30,3.0,55.0,6.4
2015-01-31,0.4499999999999999,65.0,3.6
2015-02-01,-3.3,85.0,1.9
2015-02-02,-4.75,84.0,2.6
2015-02-03,-4.85,81.0,2.8
2015-02-04,-3.7,86.0,2.8
2015-02-05,-2.95,88.0,4.9
2015-02-06,4.1,81.0,9.3
2015-02-07,3.0,78.0,15.1
2015-02-08,0.6,88.0,8.9
2015-02-09,4.6,88.0,8.7
2015-02-10,6.3,75.0,10.4
2015-02-11,7.25,61.0,7.3
2015-02-12,4.15,77.0,5.6
2015-02-13,-1.35,84.0,1.9
2015-02-14,-0.8500000000000001,87.0,2.1
2015-02-15,1.3,55.0,7.0
2015-02-16,1.65,52.0,7.8
2015-02-17,2.7,60.0,7.0
2015-02-18,2.55,87.0,4.4
2015-02-19,3.85,91.0,3.2
2015-02-20,3.2,80.0,2.3
2015-02-21,1.75,72.0,3.9
