date,air_temperature,relative_humidity,wind_speed
2020-01-01,6.15,67.0,8.7
2020-01-02,7.05,72.0,3.4
2020-01-03,4.1,84.0,10.6
2020-01-04,1.2,81.0,9.1
2020-01-05,1.35,88.0,3.8
2020-01-06,3.85,80.0,2.5
2020-01-07,5.5,70.0,5.0
2020-01-08,5.35,72.0,9.6
2020-01-09,2.5,71.0,6.4
2020-01-10,0.25,78.0,2.8
2020-01-11,3.65,59.0,7.5
2020-01-12,3.8,77.0,4.4
2020-01-13,2.65,60.0,2.8
2020-01-14,4.5,54.0,5.5
2020-01-15,4.35,66.0,3.3
2020-01-16,4.45,67.0,4.1
2020-01-17,5.05,70.0,2.9
2020-01-18,2.4,90.0,2.9
2020-01-19,2.65,78.0,8.7
2020-01-20,6.4,84.0,8.1
2020-01-21,5.3,82.0,13.5
2020-01-22,2.75,78.0,10.7
2020-01-23,3.35,85.0,6.1
2020-01-24,3.0,87.0,8.8
2020-01-25,1.2,90.0,4.1
2020-01-26,3.9,87.0,4.4
2020-01-27,3.1,80.0,2.4
2020-01-28,2.0,73.0,2.3
2020-01-29,0.8,65.0,5.5
2020-01-30,0.9,69.0,3.8
2020-01-31,2.4,57.0,6.8
2020-02-01,4.3,69.0,5.5
2020-02-02,2.95,88.0,8.7
2020-02-03,0.5499999999999999,86.0,3.0
2020-02-04,-1.4500000000000002,79.0,4.6
2020-02-05,1.25,90.0,6.8
2020-02-06,0.75,99.0,1.2
2020-02-07,0.7,99.0,2.6
2020-02-08,0.95,77.0,2.5
2020-02-09,4.95,58.0,8.0
2020-02-10,5.15,79.0,8.9
2020-02-11,1.8,76.0,2.7
2020-02-12,1.1,78.0,5.2
2020-02-13,1.55,79.0,4.2
2020-02-14,0.35,73.0,3.5
2020-02-15,3.45,52.0,6.0
2020-02-16,6.4,69.0,5.1
2020-02-17,5.35,61.0,8.0
2020-02-18,4.699999999999999,81.0,6.1
2020-02-19,2.1500000000000004,82.0,2.9
2020-02-20,2.5,60.0,5.5
2020-02-21,4.05,67.0,5.5
